疾病名称,疾病链接,菜品名称,配方,功效,制法
脾肾阳虚再生障碍性贫血,http://www.cnzyao.com/shiliao/nk/1340.html,【三鲜蒸饺】,虾仁100克， 韭菜 100克，海参10克，鸡蛋100克，面粉适量。,补肾益阳，养血填精。 用法： 可作主食食用。 【补肾壮阳虾酥】,将诸料制为馅，和面包为饺子，蒸熟即可。 【功效】 补肾益阳，养血填精。
脾肾阳虚再生障碍性贫血,http://www.cnzyao.com/shiliao/nk/1340.html,【补肾壮阳虾酥】,大对虾1对， 黑芝麻 50克。,补肾阳，益精血。 用法： 佐餐食用。 【羊髓蜜膏】,对虾取肉为茸，加绍酒调味，置于面包托上，蘸黑芝麻炸成金黄。 【功效】 补肾阳，益精血。
脾肾阳虚再生障碍性贫血,http://www.cnzyao.com/shiliao/nk/1340.html,【羊髓蜜膏】,羊髓、白蜜各250克，生 甘草 50克。,温肾健脾。 用法： 每日3次，每次2匙，开水冲服。 【羊肾膏】,将新鲜羊胫骨砸断，取出骨髓。先以1000毫升水煮甘草，取汁500毫升，然后加入白蜜及羊髓，煎煮半小时后过滤取汁，文火熬至饴糖状，放入砂罐中贮存备用。 【功效】 温肾健脾。
脾肾阳虚再生障碍性贫血,http://www.cnzyao.com/shiliao/nk/1340.html,【羊肾膏】,羊肾2对， 熟地 300克，红糖1000克。,温阳益气暖肾。 用法： 每日3次，每次2匙，开水冲服。 【胎盘饮】,将新鲜羊肾对半切开，去掉筋膜，洗净后切碎，和熟地一同加水适量，文火炖煮1小时后，取出滤液；余渣加水炖煮取汁，同法再取汁1次。共煮取汁3次，合并3次滤液，文火浓缩成胶状，加红糖收膏。 【功效】 温阳益气暖肾。
脾肾阳虚再生障碍性贫血,http://www.cnzyao.com/shiliao/nk/1340.html,【胎盘饮】,鲜胎盘半个，冬虫夏草10～15克，桂圆肉30克。,"温肾补脾。 用法： 吃胎盘喝汤。 （本文由 中医药网 整理或引用，内容仅供参考，转载请注明出处，谢谢合作。） 上一篇： 肝肾阴虚型再生障碍性贫血的6种食疗方 下一篇： 乙肝大三阳吃什么蔬菜好？ 更多关于 贫血,脾肾阳虚再生障碍性贫血,再生障碍性贫血 的文章 [ 内科食疗 ] 肝肾阴虚型再生障碍性贫血的6种食疗方 [ 内科食疗 ] 气不摄血型再生障碍性贫血的5种食疗方 [ 内科食疗 ] 脾肾阳虚型缺铁性贫血5种食疗方 [ 内科食疗 ] 肝肾亏虚型缺铁性贫血4种食疗方 [ 内科食疗 ] 气血两亏型缺铁性贫血6种食疗方 内科食疗频道热点文章： 血虚型便秘5种食疗方 湿浊困脾型肠功能紊乱5种食疗方 肺肾两虚型慢性肾炎3种食疗方 阴阳两虚型糖尿病4种食疗方 肝郁气滞型消化性溃疡的5种食疗方 药膳食谱大全 内科食疗 外科食疗 妇科病食疗 儿科食疗 五官科食疗 皮肤病食疗 药膳食谱大全热文排行 湿热下注型带下病的4种食疗方 女性月经不调有哪些食疗法？ 肺胃热盛型痤疮的4种食疗方 肝胃不和型慢性胃炎的4种食疗方 淋巴结炎的常见食疗方 脾胃虚寒型慢性胃炎6种食疗方 脾虚湿盛型带下病的3种食疗方 气滞血瘀闭经的3种食疗方 肝气郁结神经衰弱的3种食疗方 糖尿病的常见的食疗方法 中医病理 内科疾病诊断 外科疾病诊断 妇科疾病诊断 儿科疾病诊断 皮肤病诊断 五官科疾病诊断 药膳食谱大全文章推荐 湿热下注型阳萎2种食疗方 脾虚型腹泻的4种食疗方 脾虚血瘀型消化性溃疡的4种食疗方 气滞血瘀慢性鼻炎2食疗方 糖尿病的常见的食疗方法 气虚下陷型胃下垂的4种食疗方 中气不足型低血压 气虚下陷型脱肛的3种食疗方 气阴两虚型冠心病的3种食疗方 肝郁痰结型颈部淋巴结核3种食疗方 疾病预防 右眼跳灾、左眼跳财 这个科学吗？眼皮跳 子宫肌瘤的食疗护理 中老年人白内障的日常饮食食物选择 枕头里装点旧茶叶有降血压效果 肝病患者饮食应该注意的食物 散光眼产生的原因与临床表现 防治近视的中医疗法有哪些 夏季防感冒三个有效的方法 秋天应该注意预防的疾病 秋季应该要预防哪些疾病 其他热文推荐 芫荽（香菜）的功效与药用价值 党参的药理研究与临床应用 磁朱丸 气阴两虚型肺结核的4种食疗方 中医诊断3个基本原则 调经姊妹丸 治湿热内蕴型皮肤瘙痒症的3种食疗方 木蝴蝶的功效与作用 独活寄生汤 当归补血汤 网站简介 | 联系我们 | 合作洽谈 | 人才招聘 | 友情链接 | 版权声明 | 网站导航 Copyright © 2012 WWW.CNZYAO.COM All Rights Reserved. 中医药网 版权所有 Email: cnzyao@gmail.com var _hmt = _hmt || []; (function() { var hm = document.createElement(""script""); hm.src = ""https://hm.baidu.com/hm.js?def4d792efb00527de2216eae58eb6d5""; var s = document.getElementsByTagName(""script"")[0]; s.parentNode.insertBefore(hm, s); })(); 备案/许可证编号： 闽ICP备11026215号-2",将胎盘洗净切块，同二药共入锅中，加水炖熟，调味即可。 【功效】 温肾补脾。
肝胆湿热型慢性肝炎、肝硬化,http://www.cnzyao.com/shiliao/nk/910.html,【李子茶】,鲜李子100～150克，绿茶2克， 蜂蜜 25克。,清热利湿，柔肝散结。 用法： 每日1剂，分早、中、晚3次服用。 【紫茄子大米粥】,将鲜李子剖开，加水300毫升，煮沸3分钟，再加茶叶与蜂蜜，沸后即可。 【功效】 清热利湿，柔肝散结。
肝胆湿热型慢性肝炎、肝硬化,http://www.cnzyao.com/shiliao/nk/910.html,【紫茄子大米粥】,紫茄子1000克，大米150克。,清热利湿退黄。 用法： 随意服食，连服数日。 【山栀根煮鸡蛋】,将紫茄子切碎，与大米共煮成粥。 【功效】 清热利湿退黄。
肝胆湿热型慢性肝炎、肝硬化,http://www.cnzyao.com/shiliao/nk/910.html,【山栀根煮鸡蛋】,山栀根15克，鸡蛋1个。,"清热解毒退黄。 用法： 饮汤吃蛋，每日1剂，连服10日为1个疗程。 （本文由 中医药网 整理或引用，内容仅供参考，转载请注明出处，谢谢合作。） 上一篇： 肝气郁结型慢性肝炎、肝硬化4种食疗方 下一篇： 肝肾阴虚型慢性肝炎、肝硬化4种食疗方 更多关于 肝胆湿热型慢性肝炎、肝硬化,慢性肝炎 的文章 [ 内科食疗 ] 瘀血停滞型慢性肝炎、肝硬化3种食疗方 [ 内科食疗 ] 脾肾阳虚型慢性肝炎、肝硬化3种食疗方 [ 内科食疗 ] 水湿内停型慢性肝炎、肝硬化3种食疗方 [ 内科食疗 ] 肝肾阴虚型慢性肝炎、肝硬化4种食疗方 [ 内科食疗 ] 肝气郁结型慢性肝炎、肝硬化4种食疗方 内科食疗频道热点文章： 肝郁气滞型消化性溃疡的5种食疗方 血虚型便秘5种食疗方 湿浊困脾型肠功能紊乱5种食疗方 阴阳两虚型糖尿病4种食疗方 肺肾两虚型慢性肾炎3种食疗方 药膳食谱大全 内科食疗 外科食疗 妇科病食疗 儿科食疗 五官科食疗 皮肤病食疗 药膳食谱大全热文排行 湿热下注型带下病的4种食疗方 女性月经不调有哪些食疗法？ 肺胃热盛型痤疮的4种食疗方 肝胃不和型慢性胃炎的4种食疗方 淋巴结炎的常见食疗方 脾胃虚寒型慢性胃炎6种食疗方 脾虚湿盛型带下病的3种食疗方 气滞血瘀闭经的3种食疗方 肝气郁结神经衰弱的3种食疗方 糖尿病的常见的食疗方法 中医病理 内科疾病诊断 外科疾病诊断 妇科疾病诊断 儿科疾病诊断 皮肤病诊断 五官科疾病诊断 药膳食谱大全文章推荐 中气不足型低血压 气滞血瘀慢性鼻炎2食疗方 气虚下陷型脱肛的3种食疗方 湿热下注型阳萎2种食疗方 糖尿病的常见的食疗方法 脾虚型腹泻的4种食疗方 肝郁痰结型颈部淋巴结核3种食疗方 脾虚血瘀型消化性溃疡的4种食疗方 气虚下陷型胃下垂的4种食疗方 气阴两虚型冠心病的3种食疗方 疾病预防 右眼跳灾、左眼跳财 这个科学吗？眼皮跳 子宫肌瘤的食疗护理 中老年人白内障的日常饮食食物选择 枕头里装点旧茶叶有降血压效果 肝病患者饮食应该注意的食物 散光眼产生的原因与临床表现 防治近视的中医疗法有哪些 夏季防感冒三个有效的方法 秋天应该注意预防的疾病 秋季应该要预防哪些疾病 其他热文推荐 当归补血汤 党参的药理研究与临床应用 气阴两虚型肺结核的4种食疗方 调经姊妹丸 芫荽（香菜）的功效与药用价值 木蝴蝶的功效与作用 治湿热内蕴型皮肤瘙痒症的3种食疗方 磁朱丸 独活寄生汤 中医诊断3个基本原则 网站简介 | 联系我们 | 合作洽谈 | 人才招聘 | 友情链接 | 版权声明 | 网站导航 Copyright © 2012 WWW.CNZYAO.COM All Rights Reserved. 中医药网 版权所有 Email: cnzyao@gmail.com var _hmt = _hmt || []; (function() { var hm = document.createElement(""script""); hm.src = ""https://hm.baidu.com/hm.js?def4d792efb00527de2216eae58eb6d5""; var s = document.getElementsByTagName(""script"")[0]; s.parentNode.insertBefore(hm, s); })(); 备案/许可证编号： 闽ICP备11026215号-2",山栀根、鸡蛋加水400毫升，文火煮沸15分钟，去渣即可。 【功效】 清热解毒退黄。
阳虚型便秘,http://www.cnzyao.com/shiliao/nk/908.html,【杏仁当归炖猪肺】,杏仁15克， 当归 15克，猪肺250克。,温通开秘。 用法： 每日1次，吃猪肺饮汤。可连续食用数日。 【锁蓉羊肉面】,将猪肺洗净切片，在沸水中氽后捞起，与杏仁、当归同放入砂锅内，加清水适量煮汤，煮熟后调味即可。 【功效】 温通开秘。
阳虚型便秘,http://www.cnzyao.com/shiliao/nk/908.html,【锁蓉羊肉面】,锁阳 5克， 肉苁蓉 5克，羊肉50克，面粉200克。,温阳通便。 用法： 作主食或点心食用。 【锁阳红糖饮】,水煎锁阳、肉苁蓉，去渣留汁，待凉，以药汁合面做面条，用羊肉汤煮面，加葱、盐等调味即成。 【功效】 温阳通便。
阳虚型便秘,http://www.cnzyao.com/shiliao/nk/908.html,【锁阳红糖饮】,锁阳15克，红糖适量。,温阳润肠通便。 用法： 每日1剂，分两次服完。 【苁蓉羊肾】,水煎锁阳，去渣留汁，加红糖适量，饮服。 【功效】 温阳润肠通便。
阳虚型便秘,http://www.cnzyao.com/shiliao/nk/908.html,【苁蓉羊肾】,肉苁蓉30克，羊肾1对。,"温阳通便。 用法： 每日1次，分早晚2次服完。 （本文由 中医药网 整理或引用，内容仅供参考，转载请注明出处，谢谢合作。） 上一篇： 血虚型便秘5种食疗方 下一篇： 肝气郁结型慢性肝炎、肝硬化4种食疗方 更多关于 阳虚型便秘 的文章 内科食疗频道热点文章： 肝郁气滞型消化性溃疡的5种食疗方 肺肾两虚型慢性肾炎3种食疗方 血虚型便秘5种食疗方 阴阳两虚型糖尿病4种食疗方 湿浊困脾型肠功能紊乱5种食疗方 药膳食谱大全 内科食疗 外科食疗 妇科病食疗 儿科食疗 五官科食疗 皮肤病食疗 药膳食谱大全热文排行 湿热下注型带下病的4种食疗方 女性月经不调有哪些食疗法？ 肺胃热盛型痤疮的4种食疗方 肝胃不和型慢性胃炎的4种食疗方 淋巴结炎的常见食疗方 脾胃虚寒型慢性胃炎6种食疗方 脾虚湿盛型带下病的3种食疗方 气滞血瘀闭经的3种食疗方 肝气郁结神经衰弱的3种食疗方 糖尿病的常见的食疗方法 中医病理 内科疾病诊断 外科疾病诊断 妇科疾病诊断 儿科疾病诊断 皮肤病诊断 五官科疾病诊断 药膳食谱大全文章推荐 湿热下注型阳萎2种食疗方 脾虚型腹泻的4种食疗方 肝郁痰结型颈部淋巴结核3种食疗方 气阴两虚型冠心病的3种食疗方 气虚下陷型脱肛的3种食疗方 气虚下陷型胃下垂的4种食疗方 气滞血瘀慢性鼻炎2食疗方 脾虚血瘀型消化性溃疡的4种食疗方 中气不足型低血压 糖尿病的常见的食疗方法 疾病预防 右眼跳灾、左眼跳财 这个科学吗？眼皮跳 子宫肌瘤的食疗护理 中老年人白内障的日常饮食食物选择 枕头里装点旧茶叶有降血压效果 肝病患者饮食应该注意的食物 散光眼产生的原因与临床表现 防治近视的中医疗法有哪些 夏季防感冒三个有效的方法 秋天应该注意预防的疾病 秋季应该要预防哪些疾病 其他热文推荐 木蝴蝶的功效与作用 独活寄生汤 磁朱丸 调经姊妹丸 气阴两虚型肺结核的4种食疗方 中医诊断3个基本原则 芫荽（香菜）的功效与药用价值 当归补血汤 治湿热内蕴型皮肤瘙痒症的3种食疗方 党参的药理研究与临床应用 网站简介 | 联系我们 | 合作洽谈 | 人才招聘 | 友情链接 | 版权声明 | 网站导航 Copyright © 2012 WWW.CNZYAO.COM All Rights Reserved. 中医药网 版权所有 Email: cnzyao@gmail.com var _hmt = _hmt || []; (function() { var hm = document.createElement(""script""); hm.src = ""https://hm.baidu.com/hm.js?def4d792efb00527de2216eae58eb6d5""; var s = document.getElementsByTagName(""script"")[0]; s.parentNode.insertBefore(hm, s); })(); 备案/许可证编号： 闽ICP备11026215号-2",羊肾剔去筋膜细切，用酱油、淀粉、黄酒拌匀稍腌渍。肉苁蓉加水适量；煮20分钟，去渣留汁。再入羊肾同煮至水沸，加葱、姜盐、味精、香油调味即成。 【功效】 温阳通便。
失眠,http://www.cnzyao.com/shiliao/nk/3372.html,【莲桂枣仁汤】,：桂圆10克， 莲子 20克， 酸枣仁 5克，大枣10枚。 【制作方法】：易汗出加五味子5克，体质虚弱明显加灵芝10克，虚烦不宁加百合10克，脾虚明显加山药30克，同煮汤服食。 【功能主治】：此方适宜心脾气血两虚之纳差乏力、失眠健忘者 【百合粥】,,
失眠,http://www.cnzyao.com/shiliao/nk/3372.html,【百合粥】,：鲜 百合 30克，糯米50克，冰糖适量。 【功能主治】：本方具有补中润肺、清心安神的功效。 【制作方法】：糯米煮粥，米将熟时加入百合煮至粥成，冰糖调味。如无鲜百合可以用干百合10克代之，直接与米同煮为粥。 【用法用量】：每日2次，早、晚温热服食。 【甘麦大枣汤】,,
失眠,http://www.cnzyao.com/shiliao/nk/3372.html,【甘麦大枣汤】,： 甘草 10克，大枣5枚，小麦10克。 【功能主治】：凡心气不足、阴虚血少、失眠盗汗、烦躁不安、悲伤欲哭者皆可食用本品。 【制作方法】：将三药用冷水浸泡后，用小火煎煮，共煎煮两次，合并煎液。 【用法用量】：每日2次，早、晚温服，喝汤食枣。 【大枣茯神粥】,,
失眠,http://www.cnzyao.com/shiliao/nk/3372.html,【大枣茯神粥】,： 大枣 5枚，粟米50克， 茯神 10克。 【功能主治】：本方具有健脾养心、安神益智的作用。 【制作方法】：用水煎煮茯神，滤取汁液，以茯神药液与大枣、粟米同煮为粥。 【用法用量】：每日2次，早、晚服食。 【桑葚百合粥】,,
失眠,http://www.cnzyao.com/shiliao/nk/3372.html,【桑葚百合粥】,：鲜 桑椹 100克，鲜百合50克。 【功能主治】：本方适合于心肾不交、烦热不眠之证。脾胃虚寒泄泻者忌用本方。 【制作方法】：将两味洗净，水煎服。 【用法用量】：每日1次。 【葱枣饮】,,
失眠,http://www.cnzyao.com/shiliao/nk/3372.html,【葱枣饮】,"：大枣20枚， 葱白 10克。 【功能主治】：此方适用于心慌乏力、食少倦怠、烦闷不得眠。 【制作方法】：把大枣掰开，与葱白一起入锅，加水煎煮，15~20分钟后取汤液。 【用法用量】：每晚1次，温热饮服。 （本文由 中医药网 整理或引用，内容仅供参考，转载请注明出处，谢谢合作。） 上一篇： 乙肝大三阳吃什么蔬菜好？ 下一篇： 降血压的常见食疗方法 更多关于 失眠药膳食谱,食疗治失眠,治疗失眠,失眠 的文章 内科食疗频道热点文章： 湿浊困脾型肠功能紊乱5种食疗方 肝郁气滞型消化性溃疡的5种食疗方 阴阳两虚型糖尿病4种食疗方 血虚型便秘5种食疗方 肺肾两虚型慢性肾炎3种食疗方 药膳食谱大全 内科食疗 外科食疗 妇科病食疗 儿科食疗 五官科食疗 皮肤病食疗 药膳食谱大全热文排行 湿热下注型带下病的4种食疗方 女性月经不调有哪些食疗法？ 肺胃热盛型痤疮的4种食疗方 肝胃不和型慢性胃炎的4种食疗方 淋巴结炎的常见食疗方 脾胃虚寒型慢性胃炎6种食疗方 脾虚湿盛型带下病的3种食疗方 气滞血瘀闭经的3种食疗方 肝气郁结神经衰弱的3种食疗方 糖尿病的常见的食疗方法 中医病理 内科疾病诊断 外科疾病诊断 妇科疾病诊断 儿科疾病诊断 皮肤病诊断 五官科疾病诊断 药膳食谱大全文章推荐 气虚下陷型胃下垂的4种食疗方 气虚下陷型脱肛的3种食疗方 气滞血瘀慢性鼻炎2食疗方 气阴两虚型冠心病的3种食疗方 脾虚型腹泻的4种食疗方 肝郁痰结型颈部淋巴结核3种食疗方 湿热下注型阳萎2种食疗方 脾虚血瘀型消化性溃疡的4种食疗方 糖尿病的常见的食疗方法 中气不足型低血压 疾病预防 右眼跳灾、左眼跳财 这个科学吗？眼皮跳 子宫肌瘤的食疗护理 中老年人白内障的日常饮食食物选择 枕头里装点旧茶叶有降血压效果 肝病患者饮食应该注意的食物 散光眼产生的原因与临床表现 防治近视的中医疗法有哪些 夏季防感冒三个有效的方法 秋天应该注意预防的疾病 秋季应该要预防哪些疾病 其他热文推荐 治湿热内蕴型皮肤瘙痒症的3种食疗方 当归补血汤 气阴两虚型肺结核的4种食疗方 木蝴蝶的功效与作用 党参的药理研究与临床应用 芫荽（香菜）的功效与药用价值 独活寄生汤 中医诊断3个基本原则 调经姊妹丸 磁朱丸 网站简介 | 联系我们 | 合作洽谈 | 人才招聘 | 友情链接 | 版权声明 | 网站导航 Copyright © 2012 WWW.CNZYAO.COM All Rights Reserved. 中医药网 版权所有 Email: cnzyao@gmail.com var _hmt = _hmt || []; (function() { var hm = document.createElement(""script""); hm.src = ""https://hm.baidu.com/hm.js?def4d792efb00527de2216eae58eb6d5""; var s = document.getElementsByTagName(""script"")[0]; s.parentNode.insertBefore(hm, s); })(); 备案/许可证编号： 闽ICP备11026215号-2",,
气虚型便秘,http://www.cnzyao.com/shiliao/nk/906.html,【杏仁芝麻糖】,甜杏仁60克， 黑芝麻 500克，白糖250克，蜂蜜250克。,益气润肠。 用法： 每日2次，每次1匙，饭后宜咀嚼咽下。 【人参黑芝麻饮】,甜杏仁打碎成泥，黑芝麻淘洗干净，倒入铁锅内。用小火炒至水气散尽，芝麻发出响声立即盛碗，稍凉后，研碎。将杏仁泥、黑芝麻、白糖、蜂蜜，倒入大瓷盆内，拌匀，瓷盆加盖，隔水蒸2小时，离火。 【功效】 益气润肠。
气虚型便秘,http://www.cnzyao.com/shiliao/nk/906.html,【人参黑芝麻饮】,人参 5～10克，黑芝麻15克，白糖适量。,益气润肠，滋养肝肾。 用法： 可作早晚餐或点心食用。 【黄芪苏麻粥】,黑芝麻捣烂备用。人参水煎去渣留汁，加入黑芝麻及适量白糖，煮沸即可。 【功效】 益气润肠，滋养肝肾。
气虚型便秘,http://www.cnzyao.com/shiliao/nk/906.html,【黄芪苏麻粥】,黄芪10克， 苏子 50克， 火麻仁 50克，梗米250克。,益气润肠。 用法： 每日1剂，分数次食完。 【芪香蜜营膏】,黄芪、苏子弋火麻仁打碎，加水适量煎煮5～10分钟，取药汁备用，入粳米，以药汁煮粥。 【功效】 益气润肠。
气虚型便秘,http://www.cnzyao.com/shiliao/nk/906.html,【芪香蜜营膏】,黄芪 300克， 木香 45克，蜂蜜适量。,补气行气，润肠通便。 用法： 每日2次，每次1汤匙，沸水冲化。 【麻仁栗子糕】,将黄芪、木香加水适量煎煮。每30分钟取煎液1次，加水再煎，共取2次，合并煎液，再以小火煎熬浓缩，至较稠黏时，加蜂蜜一倍，至沸停火，待冷装瓶备用。 【功效】 补气行气，润肠通便。
气虚型便秘,http://www.cnzyao.com/shiliao/nk/906.html,【麻仁栗子糕】,火麻仁10克，芝麻5克，栗子粉50克，玉米面50克。,"补气润肠通便。 用法： 作点心服食。 （本文由 中医药网 整理或引用，内容仅供参考，转载请注明出处，谢谢合作。） 上一篇： 气滞型便秘3种食疗方 下一篇： 血虚型便秘5种食疗方 更多关于 气虚型便秘 的文章 内科食疗频道热点文章： 湿浊困脾型肠功能紊乱5种食疗方 肝郁气滞型消化性溃疡的5种食疗方 血虚型便秘5种食疗方 阴阳两虚型糖尿病4种食疗方 肺肾两虚型慢性肾炎3种食疗方 药膳食谱大全 内科食疗 外科食疗 妇科病食疗 儿科食疗 五官科食疗 皮肤病食疗 药膳食谱大全热文排行 湿热下注型带下病的4种食疗方 女性月经不调有哪些食疗法？ 肺胃热盛型痤疮的4种食疗方 肝胃不和型慢性胃炎的4种食疗方 淋巴结炎的常见食疗方 脾胃虚寒型慢性胃炎6种食疗方 脾虚湿盛型带下病的3种食疗方 气滞血瘀闭经的3种食疗方 肝气郁结神经衰弱的3种食疗方 糖尿病的常见的食疗方法 中医病理 内科疾病诊断 外科疾病诊断 妇科疾病诊断 儿科疾病诊断 皮肤病诊断 五官科疾病诊断 药膳食谱大全文章推荐 中气不足型低血压 糖尿病的常见的食疗方法 气虚下陷型脱肛的3种食疗方 气阴两虚型冠心病的3种食疗方 脾虚型腹泻的4种食疗方 脾虚血瘀型消化性溃疡的4种食疗方 湿热下注型阳萎2种食疗方 气虚下陷型胃下垂的4种食疗方 气滞血瘀慢性鼻炎2食疗方 肝郁痰结型颈部淋巴结核3种食疗方 疾病预防 右眼跳灾、左眼跳财 这个科学吗？眼皮跳 子宫肌瘤的食疗护理 中老年人白内障的日常饮食食物选择 枕头里装点旧茶叶有降血压效果 肝病患者饮食应该注意的食物 散光眼产生的原因与临床表现 防治近视的中医疗法有哪些 夏季防感冒三个有效的方法 秋天应该注意预防的疾病 秋季应该要预防哪些疾病 其他热文推荐 气阴两虚型肺结核的4种食疗方 磁朱丸 党参的药理研究与临床应用 木蝴蝶的功效与作用 独活寄生汤 当归补血汤 芫荽（香菜）的功效与药用价值 调经姊妹丸 治湿热内蕴型皮肤瘙痒症的3种食疗方 中医诊断3个基本原则 网站简介 | 联系我们 | 合作洽谈 | 人才招聘 | 友情链接 | 版权声明 | 网站导航 Copyright © 2012 WWW.CNZYAO.COM All Rights Reserved. 中医药网 版权所有 Email: cnzyao@gmail.com var _hmt = _hmt || []; (function() { var hm = document.createElement(""script""); hm.src = ""https://hm.baidu.com/hm.js?def4d792efb00527de2216eae58eb6d5""; var s = document.getElementsByTagName(""script"")[0]; s.parentNode.insertBefore(hm, s); })(); 备案/许可证编号： 闽ICP备11026215号-2",将火麻仁、芝麻打碎，与栗子粉、玉米面、适量红糖拌匀，以水合面蒸成糕。 【功效】 补气润肠通便。
阴虚火旺功能性子宫出血,http://www.cnzyao.com/shiliao/fck/1314.html,【氽蛎肉】,鲜蛎肉250克，肉汤500毫升。,滋阴养血，清热止崩。 用法： 食肉饮汤。 【甲鱼虫草汤】,将肉汤烧沸，氽入蛎肉，煮沸即可，以食盐、味精调味。 【功效】 滋阴养血，清热止崩。
阴虚火旺功能性子宫出血,http://www.cnzyao.com/shiliao/fck/1314.html,【甲鱼虫草汤】,甲鱼1只（约500克）， 冬虫夏草 20克，藕节50克。,滋阴清热，固冲止血。 用法： 饮汤食肉。 【茜草乌龟汤】,将甲鱼去头及内脏，切块，与冬虫夏草、藕节一起放入砂锅内，加水适量，用文火炖1小时，加入调料。 【功效】 滋阴清热，固冲止血。
阴虚火旺功能性子宫出血,http://www.cnzyao.com/shiliao/fck/1314.html,【茜草乌龟汤】,乌龟1只， 海螵蛸 30克，茜草根20克。,滋阴凉血，调经止血。 用法： 随量食饮。 【墨鱼炖乌鸡】,将乌龟用沸水烫死后，去壳及内脏，洗净，斩成小块，与海螵蛸、茜草根一起放入砂锅内，加清水适量，武火烧沸后，改用文火煮3小时，调味即可。 【功效】 滋阴凉血，调经止血。
阴虚火旺功能性子宫出血,http://www.cnzyao.com/shiliao/fck/1314.html,【墨鱼炖乌鸡】,墨鱼250克，甲鱼1只， 乌骨鸡 1只。,"滋阴养血，化瘀调经。 用法： 佐餐随量食用。 （本文由 中医药网 整理或引用，内容仅供参考，转载请注明出处，谢谢合作。） 上一篇： 脾气虚弱功能性子宫出血4种食疗方 下一篇： 肾阳不足功能性子宫出血2种食疗方 更多关于 阴虚火旺功能性子宫出血,功能性子宫出血 的文章 [ 妇科病食疗 ] 肾阳不足功能性子宫出血2种食疗方 [ 妇科病食疗 ] 脾气虚弱功能性子宫出血4种食疗方 [ 妇科病食疗 ] 瘀血阻滞型功能性子宫出血4种食疗方 [ 妇科病食疗 ] 血热妄行型功能性子宫出血5种食疗方 妇科病食疗频道热点文章： 脾气虚弱功能性子宫出血4种食疗方 气滞血瘀闭经的3种食疗方 痰湿阻滞闭经的3种食疗方 气滞水停妊娠水肿的4种食疗方 气血虚弱闭经的3种食疗方 药膳食谱大全 内科食疗 外科食疗 妇科病食疗 儿科食疗 五官科食疗 皮肤病食疗 药膳食谱大全热文排行 湿热下注型带下病的4种食疗方 女性月经不调有哪些食疗法？ 肺胃热盛型痤疮的4种食疗方 肝胃不和型慢性胃炎的4种食疗方 淋巴结炎的常见食疗方 脾胃虚寒型慢性胃炎6种食疗方 脾虚湿盛型带下病的3种食疗方 气滞血瘀闭经的3种食疗方 肝气郁结神经衰弱的3种食疗方 糖尿病的常见的食疗方法 中医病理 内科疾病诊断 外科疾病诊断 妇科疾病诊断 儿科疾病诊断 皮肤病诊断 五官科疾病诊断 药膳食谱大全文章推荐 中气不足型低血压 糖尿病的常见的食疗方法 湿热下注型阳萎2种食疗方 气阴两虚型冠心病的3种食疗方 气虚下陷型胃下垂的4种食疗方 气滞血瘀慢性鼻炎2食疗方 脾虚型腹泻的4种食疗方 气虚下陷型脱肛的3种食疗方 肝郁痰结型颈部淋巴结核3种食疗方 脾虚血瘀型消化性溃疡的4种食疗方 疾病预防 右眼跳灾、左眼跳财 这个科学吗？眼皮跳 子宫肌瘤的食疗护理 中老年人白内障的日常饮食食物选择 枕头里装点旧茶叶有降血压效果 肝病患者饮食应该注意的食物 散光眼产生的原因与临床表现 防治近视的中医疗法有哪些 夏季防感冒三个有效的方法 秋天应该注意预防的疾病 秋季应该要预防哪些疾病 其他热文推荐 当归补血汤 磁朱丸 治湿热内蕴型皮肤瘙痒症的3种食疗方 芫荽（香菜）的功效与药用价值 党参的药理研究与临床应用 中医诊断3个基本原则 气阴两虚型肺结核的4种食疗方 木蝴蝶的功效与作用 独活寄生汤 调经姊妹丸 网站简介 | 联系我们 | 合作洽谈 | 人才招聘 | 友情链接 | 版权声明 | 网站导航 Copyright © 2012 WWW.CNZYAO.COM All Rights Reserved. 中医药网 版权所有 Email: cnzyao@gmail.com var _hmt = _hmt || []; (function() { var hm = document.createElement(""script""); hm.src = ""https://hm.baidu.com/hm.js?def4d792efb00527de2216eae58eb6d5""; var s = document.getElementsByTagName(""script"")[0]; s.parentNode.insertBefore(hm, s); })(); 备案/许可证编号： 闽ICP备11026215号-2",将墨鱼去骨，甲鱼去关、爪、内脏，用开水烫后去黑衣，乌骨鸡去毛、内脏洗净后一起入锅，加适量水，武火煮沸，改用文火炖1小时至烂熟，加食盐调味。 【功效】 滋阴养血，化瘀调经。
肝肾阴亏型更年期综合症,http://www.cnzyao.com/shiliao/fck/1182.html,【甘麦大枣汤】,小麦50克左右，大枣10克， 甘草 15克。,益气养阴，宁心安神。 用法： 早晚分食。 【清蒸杞甲鱼】,用水煎甘草，去渣取汁，再用药汁与大枣、小麦一起煮粥。 【功效】 益气养阴，宁心安神。
肝肾阴亏型更年期综合症,http://www.cnzyao.com/shiliao/fck/1182.html,【清蒸杞甲鱼】,甲鱼1只， 枸杞子 15克。,滋补肝肾。 用法： 食肉饮汤。 【百合枣仁汤】,甲鱼去内脏，用开水烫2～3分钟，去黑衣，洗净，再将枸杞子放入甲鱼腹内，加葱、姜、蒜、盐、糖等调料少许，放锅上清蒸。 【功效】 滋补肝肾。
